un_020440_0010#0,"""......ฟู่ว"""
un_020440_0020#0,"""......อ๊ะ ขอโทษนะ<br>พอดีชั้นคิดอะไรอยู่น่ะ........."""
un_020440_0030#0,"""......เอ่อ ชั้นขอถามอะไร<br>คุณซักหน่อยจะได้มั้ย<br>ก็แค่เรื่องไร้สาระน่ะ"""
un_020440_0040#0,"""......ถ้ากำลังปฏิบัติภารกิจอยู่<br>ชายหญิงจะจับคู่ปาร์ตี้กัน<br>ก็ไม่มีอะไรแปลกสินะ"""
un_020440_0050#0,"""......ถ้าอย่างนั้น คือ......<br>ถ้าคล้องแขนกันล่ะ?"""
un_020440_0060#0,"""......แทนที่จะเรียกว่าทำภารกิจ<br>มันเหมือนกับ...... เล่นกันอยู่มากกว่า<br>......มันยังไงกันนะ"""
un_020440_0070#0,"""......ชะ ชั้นไม่ได้หมายถึงใครนะ<br>ชั้นก็แค่ ก็แค่รู้สึกคาใจนิดหน่อย<br>เท่านั้นเอง"""
un_020440_0080#0,"""......เพียงแต่ ชั้นก็ไม่ค่อยเข้าใจ<br>นักหรอกแต่ชั้นรู้สึกเสียใจ......<br>แล้วก็หงุดหงิดน่ะ......"""
un_020440_0090#0,"""......ขอโทษนะ<br>เรื่องคลุมเคลือแบบนี้พูดไป<br>ก็รังแต่จะทำให้คุณลำบากใจ"""
un_020440_0100#0,"""......ลืมเรื่องเมื่อกี้ไปซะเถอะนะ<br>ถ้าชั้นไม่ใส่ใจซะอย่าง เรื่องก็จบ"""
un_020440_0110#0,"""......ใช่แล้ว<br>ชั้นไม่จำเป็นต้องใส่ใจ<br>ทั้งๆ ที่มันไม่จำเป็น...... แท้ๆ ......"""
un_020440_0010#1,"""……ふぅ。"""
un_020440_0020#1,"""……あ、ごめんなさい。<br>考え事していて…………"""
un_020440_0030#1,"""……あの、ちょっと聞きたいことが<br>あるんだけど、いいかしら。<br>くだらないこと、なんだけど。"""
un_020440_0040#1,"""……任務だったら<br>男女ふたりきりでパーティーを<br>組んでも、おかしくないわよね。"""
un_020440_0050#1,"""……じゃあ、その……<br>腕を、組んだりするのは？"""
un_020440_0060#1,"""……任務というよりも<br>一緒に……遊んでいるようなのは<br>……どうなんだろう、って。"""
un_020440_0070#1,"""……べ、別に誰の話でもないわ。<br>ちょっと、ちょっと気になった<br>それだけなんだから。"""
un_020440_0080#1,"""……ただ、よくわからないけど<br>すごく、もやもやっとして……<br>いらいらしてしまって……"""
un_020440_0090#1,"""……ごめんなさい。<br>こんな曖昧な話をされても<br>困らせるだけよね。"""
un_020440_0100#1,"""……今の話は忘れて。<br>私が気にしなければ、それで終わり。"""
un_020440_0110#1,"""……そう。<br>私が気にする必要なんてない。<br>そんな必要ない……はずなのに……"""
