msc_012120_0010#0,"""ยินดีด้วยที่เดินทางมาจนถึงที่นี่ ฉันชื่อนาเดเรห์ (Nadereh) เป็นผู้บัญชาการเมืองเรเทม (Retem City)"""
msc_012120_0030#0,"""ฉันชื่อจาลิล (Jalil) เป็นที่ปรึกษาของนาเดเรห์ (Nadereh)"""
msc_012120_0040#0,"""ส่วนฉันโมห์เซน (Mohsen) เป็นที่ปรึกษาเช่นกัน"""
msc_012120_0050#0,"""ฉันชื่อไอน่า เป็น ARKS จากเซ็นทรัลซิตี้ (Central City) ค่ะ"""
msc_012120_0060#0,"""ฉันชื่อมาน่อน ค่ะ"""
msc_012120_0080#0,"""ก่อนหน้านี้พวกเราเห็น DOLLS ตัวใหญ่มหึมาด้วย... มันคือตัวอะไรเหรอคะ?"""
msc_012120_0090#0,"""นั่นคือ Lenus Retem น่ะ"""
msc_012120_0100#0,"""Lenus Retem..."""
msc_012120_0110#0,"""มันเร่ร่อนไปตามใจชอบในทะเลทรายแห่งนี้... และหายตัวไปอย่างรวดเร็ว มันเป็นปัญหาใหญ่สำหรับพวกเราเลยล่ะ"""
msc_012120_0120#0,"""โชคดีที่ความเสียหายจากการอาละวาดครั้งล่าสุดของมันมีเพียงเล็กน้อย มันเป็นหนามยอกอกพวกเรามาหลายปีแล้วล่ะ"""
msc_012120_0130#0,"""ครอว์ฟอร์ด (Crawford) เล่าเรื่องคร่าวๆ ให้ฉันฟังหมดแล้วล่ะ พวกเธอคงอยากให้พวกเราช่วยเรื่องนั้นสินะ..."""
msc_012120_0140#0,"""ฉันขอโทษนะ... แต่พวกเราไม่สามารถให้ความช่วยเหลืออะไรได้เลย"""
msc_012120_0150#0,"""ฉันได้ยินเรื่องที่เกิดขึ้นกับหมู่บ้านเอลิโอ (Aelio Town) แล้วล่ะ แน่นอนว่าดาร์กฟาลส์ (Dark Falz) ไม่ใช่ภัยคุกคามที่เราจะละเลยได้"""
msc_012120_0160#0,"""แต่ว่า... แค่ปัญหาของพวกเราเองก็แทบจะรับมือไม่ไหวอยู่แล้ว"""
msc_012120_0170#0,"""ปัญหาเรื่อง Lenus Retem น่ะ"""
msc_012120_0180#0,"""ตราบใดที่มันยังคงลอยนวลอยู่... มันก็ยากเกินกว่าที่พวกเราจะไปช่วยเขตอื่นๆ ได้"""
msc_012120_0190#0,"""น่าเสียดายที่พวกเธอต้องมาเสียเที่ยว ฉันขอโทษจริงๆ ที่ต้องปฏิเสธพวกเธอ พักผ่อนซะเถอะ แล้วค่อยเดินทางกลับนะ"""
msc_012120_0200#0,"""เอ่อ แต่ว่า..."""
msc_012120_0210#0,"""อย่าเพิ่งด่วนตัดสินใจไปเลย นาเดเรห์ (Nadereh)"""
msc_012120_0220#0,"""Lenus Retem ปรากฏตัวงั้นเหรอ... ต้องขออภัยด้วยที่ไม่ได้อยู่ช่วย"""
msc_012120_0230#0,"""ไม่ต้องกังวลไปหรอก ทำไมนายถึงห้ามฉันล่ะ?"""
msc_012120_0240#0,"""พวกเขาเหล่านี้มีความแข็งแกร่งมากเลยนะ"""
msc_012120_0250#0,"""ฉันได้ยืนยันด้วยตัวเองที่เซ็นทรัล (Central) หลังจากที่ได้เจอกับพวกเขาบนภูเขาน่ะ"""
msc_012120_0260#0,"""ดูเหมือนว่าพวกเขาจะเอาชนะ Nex Aelio ได้ด้วยกำลังคนเพียงหยิบมือเดียวด้วยนะ"""
msc_012120_0270#0,"""นี่อาจจะเป็นโอกาสที่สมบูรณ์แบบเลยก็ได้นะ"""
msc_012120_0280#0,"""หากได้รับความช่วยเหลือจากพวกเขา เราก็อาจจะสามารถเอาชนะLenus Retem ได้"""
msc_012120_0290#0,"""ใช่แล้วล่ะ พวกเราจะช่วยคุณเอง"""
msc_012120_0300#0,"""...ถึงอย่างนั้นก็เถอะ"""
msc_012120_0310#0,"""มันก็ยากที่จะเชื่อนะว่าพวกเขาเอาชนะ Nex Aelio ได้น่ะ"""
msc_012120_0320#0,"""อืม..."""
msc_012120_0330#0,"""นี่ไม่ใช่การต่อสู้ที่ง่ายดายเลยแม้แต่น้อย... พวกเธอทุกคนเตรียมใจพร้อมแล้วงั้นเหรอ?"""
msc_012120_0340#0,"""แน่นอนค่ะ พวกเราจะทำทุกอย่างที่เราทำได้"""
msc_012120_0360#0,"""ช่วยเล่าสถานการณ์ปัจจุบันในเขตเรเทม (Retem) ให้พวกเราฟังหน่อยได้ไหมคะ?"""
