msc_012200_0010#0,"""Mm. Ese es el último de ellos."""
msc_012200_0020#0,"""Ahora, entonces. Has preguntado por qué Nadereh no utiliza el poder de sufamilia, ¿no es así?"""
msc_012200_0030#0,"""A lo largo de las generaciones, los líderes de Retem siempre han<br>luchado utilizando tanto su fuerza física como el<br>poder del canto. Sin embargo..."""
msc_012200_0040#0,"""Nadereh carece de este poder del canto."""
msc_012200_0050#0,"""El día que se convirtió en nuestra líder, un gran número de defensores de ARkS se reunieron aquí."""
msc_012200_0060#0,"""Nadereh cantó la Canción de Guerra ante esa multitud.<br>Sin embargo, su poder no se manifestó."""
msc_012200_0070#0,"""¿Por qué no?"""
msc_012200_0080#0,"""Nadie lo sabe."""
msc_012200_0100#0,"""Los allí reunidos se estremecieron, pero la más<br>devastada fue probablemente la propia Nadereh."""
msc_012200_0110#0,"""Y, sin embargo, Nadereh ha seguido cumpliendo fielmente sus<br>deberes como nuestra líder."""
msc_012200_0130#0,"""Se ha sometido a un intenso entrenamiento que otros no podrían<br>soportar para asegurar que su fuerza física compense su... deficiencia."""
msc_012200_0150#0,"""Sus incansables esfuerzos y su fuerza son dignos de admiración. No hay nadie entre nosotros que pueda criticarla por carecer del<br>poder del canto."""
msc_012200_0161#0,"""¿Tiene algún tipo de dato o análisis sobre el poder de la canción de Nadereh?"""
msc_012200_0163#0,"""Por ejemplo, ¿algún tipo de grabación de vídeo... o materiales de investigación de alguien?"""
msc_012200_0165#0,"""Si no es mucho pedir, me gustaría echarles un vistazo."""
msc_012200_0170#0,"""Hmmm... Puede haber algo en las terminales de Retem City."""
msc_012200_0180#0,"""Entonces vamos a volver a la ciudad."""
