ssc_508020_0010#0,"""อืม? อ้า สวัสดีครับ"""
ssc_508020_0020#0,"""ผมกำลังช่วยงานเล็กๆ น้อยๆ ให้ครอว์ฟอร์ด (Crawford) อยู่น่ะ"""
ssc_508020_0030#0,"""...อ้อ จริงสิ<br>พอจะมีเวลาสักหน่อยไหม?"""
ssc_508020_0040#0,"""อยากจะคุยเรื่องของ<br>ผมกับครอว์ฟอร์ด (Crawford) ให้ฟังน่ะครับ"""
ssc_508020_0050#0,"""น่าสนใจดีนี่"""
ssc_508020_0060#0,"""มีความลับเด็ดๆ อะไรไหม?"""
ssc_508020_0070#0,"""เอาล่ะ ถ้างั้นก็"""
ssc_508020_0080#0,"""อ้อ ไม่ใช่เรื่องใหญ่อะไรแบบนั้นหรอก"""
ssc_508020_0090#0,"""อย่างที่รู้กันว่า ผมและพี่น้อง<br>อาศัยอยู่ในควาริส (Kvaris) มาตลอดชีวิตเลย"""
ssc_508020_0100#0,"""คนกลุ่มเดียวที่เรา<br>มีปฏิสัมพันธ์ด้วยเป็นประจำก็คือคนในครอบครัวน่ะ"""
ssc_508020_0110#0,"""บางครั้ง ก็มี ARKS จาก<br>เอลิโอ (Aelio) แวะมาบ้าง แต่..."""
ssc_508020_0120#0,"""ส่วนใหญ่ก็แค่มาถาม<br>ทางหรือขอข้อมูลเท่านั้นเอง"""
ssc_508020_0130#0,"""นอกจากนั้นแล้ว ก็มีแค่<br>พวกเรากับดินแดนสีขาวบริสุทธิ์แห่งนี้"""
ssc_508020_0140#0,"""ในขณะที่พี่น้องของผมได้รับแรงบันดาลใจจาก<br>'การฟื้นฟูควาริส (Restoration of Kvaris)' ที่คุณปู่ใฝ่ฝัน..."""
ssc_508020_0150#0,"""สำหรับผมแล้ว มันรู้สึกเหมือนมี<br>บางอย่างขาดหายไปจากกิจวัตรประจำวันแบบนั้นน่ะครับ"""
ssc_508020_0160#0,"""แล้ววันหนึ่ง ขณะที่กำลังจัดเรียงข้อมูลบนเครื่องเทอร์มินัล<br>ก็พบกับฟอรัมที่มีข้อมูลการวิจัยมากมายเต็มไปหมด"""
ssc_508020_0170#0,"""และในนั้น ก็มีข้อมูลบางส่วน<br>ที่บังเอิญสะดุดตาผมพอดี"""
ssc_508020_0180#0,"""ต่อมา ผมถึงได้รู้ว่าข้อมูล<br>เหล่านี้ถูกเขียนขึ้นโดยครอว์ฟอร์ด (Crawford)"""
ssc_508020_0190#0,"""ไม่รู้ว่าทำไมเหมือนกัน แต่ผมดันไปเขียนแจกแจง<br>ข้อผิดพลาดทั้งหมดของเขาไว้ในความคิดเห็นใต้ผลงานของเขาน่ะสิ..."""
