un_020520_0010#0,"""唉呀唉呀唉呀呀，<br>你好你好，午安啦。<br>莉莎正好在合作訓練當中喲。"""
un_020520_0020#0,"""......莉莎......等一下。"""
un_020520_0030#0,"""妳好慢喔，瑪露。<br>敵人早就已經隨風飄散<br>死光光了耶？"""
un_020520_0040#0,"""......我覺得是莉莎妳太快了。<br>你也說說她好不好。<br>真的跑太前面了。"""
un_020520_0050#0,"""不會不會，才沒有這種事情。<br>既然是遊俠和法師搭配，<br>莉莎一定是要出風頭的啊。"""
un_020520_0060#0,"""遊俠控制敵人行動，<br>法師一口氣把牠們全部轟飛。<br>那可是一般的手法啊。"""
un_020520_0070#0,"""......或許是這樣，沒錯。"""
un_020520_0080#0,"""不過，幾乎都是莉莎一個人<br>在拼了命的殺呢。"""
un_020520_0090#0,"""......這樣的話，我的訓練<br>不就沒得玩了。"""
un_020520_0100#0,"""沒這回事，真的，沒這回事啦。<br>速戰速決的行動<br>可是各位法師的必備力量耶？"""
un_020520_0110#0,"""不過不過呢，如果和獵人他們<br>組隊的話，可就沒那麼快了。<br>半字不減。"""
un_020520_0120#0,"""如果妳實在太慢，<br>我可會丟下妳不管哦？<br>這樣也無所謂麼？"""
un_020520_0130#0,"""......我再努力一下好了。"""
un_020520_0140#0,"""呵呵，就是這股志氣啦。"""
